"Country Name","Country Code","Indicator Name","Indicator Code","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Afghanistan","AFG","Building quality control index (0-15)","IC.DCP.BQCI","","","","","","","","","","2.5","2.5","2.5",
"Afghanistan","AFG","Cost – Women (% of income per capita)","IC.REG.COST.PC.ZS.WOMEN","75.2","67.4","84.6","59.5","30.2","26.7","25.8","22.5","14.4","15.1","19","19.9",
"Afghanistan","AFG","Cost to build a warehouse (% of income per capita)","IC.DCP.COST","208.5","193","200.5","140.9","121.6","107.2","100.8","89.1","83.8","74.4","76.6","82.7",
"Afghanistan","AFG","Cost to enforce a contract (% of claim)","IC.EC.COST","29","29","29","29","29","29","29","29","29","29","29","29",
"Afghanistan","AFG","Cost to export: Documentary compliance (USD)","IC.EXP.COST.EXP.DOC","","","","","","","","","","344","344","344",
"Afghanistan","AFG","Cost to get electricity (% of income per capita)","IC.GE.COST","","","","","618.2","6179.7","2917.8","2550.7","2368.5","2084","2124","2274.7",
"Afghanistan","AFG","Cost to import (deflated US$ per container)","IC.EXP.COST.IMP.DEF","","","","","","","","","","","","",
"Afghanistan","AFG","Cost to import: Documentary compliance (USD)","IC.EXP.COST.IMP.DOC","","","","","","","","","","900","900","900",
"Afghanistan","AFG","Cost to register property (% of property value)","IC.RP.COST","7","7","7","7","4","5","5","5","5","5","5","5",
"Afghanistan","AFG","Cost to start a business (% of income per capita)","IC.REG.COST.PC.ZS","75.2","67.4","84.6","59.5","30.2","26.7","25.8","22.5","14.4","15.1","19","19.9",
"Afghanistan","AFG","Credit: Strength of legal rights index (0=weak to 10=strong)","IC.LGL.CRED.XQ","","","","","","","","","9","9","9","9",
"Afghanistan","AFG","Creditor participation index (0-4)","IC.ISV.CPI","","","","","","","","","","","","",
"Afghanistan","AFG","Depth of credit information index (0=low to 6=high)","IC.CRD.INFO.XQ","","","","","","","","","0","0","0","0",
"Afghanistan","AFG","Ease of doing business index (1=easiest to 185=most difficult)","IC.BUS.EASE.XQ","","","","","","","","","","","182","183",
"Afghanistan","AFG","Ease of shareholder suits index (0 to 10)","IC.PI.SHAR","","","","","","","","","3","3","3","3",
"Afghanistan","AFG","Extent of conflict of interest regulation index (0-10)","IC.PI.CIR","","","","","","","","","1.7","1.7","1.7","1.7",
"Afghanistan","AFG","Extent of corporate transparency index (0-9)","IC.PI.CT","","","","","","","","","2","2","2","2",
"Afghanistan","AFG","Extent of director liability index (0 to 10)","IC.PI.DIR","1","1","1","1","1","1","1","1","1","1","1","1",
"Afghanistan","AFG","Extent of disclosure index (0 to 10)","IC.BUS.DISC.XQ","1","1","1","1","1","1","1","1","1","1","1","1",
"Afghanistan","AFG","Extent of shareholder governance index (0-10)","IC.PI.SG","","","","","","","","","0.7","0.7","0.7","0.7",
"Afghanistan","AFG","Extent of shareholder rights index (0-10.5)","IC.PI.SR","","","","","","","","","0","0","0","0",
"Afghanistan","AFG","Labor tax and contributions (%)","IC.TAX.LABR.CP.ZS","","","","","","","","","0","0","0","0",
