"CountryCode","SeriesCode","Year","DESCRIPTION",
"AFG","IC.ISV.DURS         ","YR2005","no practice",
"AFG","IC.ISV.DURS         ","YR2006","no practice",
"AFG","IC.ISV.DURS         ","YR2007","no practice",
"AFG","IC.ISV.DURS         ","YR2008","no practice",
"AFG","IC.ISV.DURS         ","YR2009","no practice",
"ALB","IC.ISV.DURS         ","YR2005","no practice",
"ALB","IC.ISV.DURS         ","YR2006","no practice",
"ALB","IC.ISV.DURS         ","YR2007","no practice",
"ALB","IC.ISV.DURS         ","YR2008","no practice",
"ALB","IC.ISV.DURS         ","YR2009","no practice",
"BDI","IC.ISV.DURS         ","YR2005","no practice",
"BDI","IC.ISV.DURS         ","YR2006","no practice",
"BDI","IC.ISV.DURS         ","YR2007","no practice",
"BDI","IC.ISV.DURS         ","YR2008","no practice",
"BDI","IC.ISV.DURS         ","YR2009","no practice",
"BTN","IC.ISV.DURS         ","YR2005","no practice",
"BTN","IC.ISV.DURS         ","YR2006","no practice",
"BTN","IC.ISV.DURS         ","YR2007","no practice",
"BTN","IC.ISV.DURS         ","YR2008","no practice",
"BTN","IC.ISV.DURS         ","YR2009","no practice",
"COM","IC.ISV.DURS         ","YR2005","no practice",
"COM","IC.ISV.DURS         ","YR2006","no practice",
"COM","IC.ISV.DURS         ","YR2007","no practice",
"COM","IC.ISV.DURS         ","YR2008","no practice",
"COM","IC.ISV.DURS         ","YR2009","no practice",
"CPV","IC.ISV.DURS         ","YR2005","no practice",
"CPV","IC.ISV.DURS         ","YR2006","no practice",
"CPV","IC.ISV.DURS         ","YR2007","no practice",
"CPV","IC.ISV.DURS         ","YR2008","no practice",
"CPV","IC.ISV.DURS         ","YR2009","no practice",
"DMA","IC.ISV.DURS         ","YR2005","no practice",
"DMA","IC.ISV.DURS         ","YR2006","no practice",
"DMA","IC.ISV.DURS         ","YR2007","no practice",
"DMA","IC.ISV.DURS         ","YR2008","no practice",
"DMA","IC.ISV.DURS         ","YR2009","no practice",
"ERI","IC.ISV.DURS         ","YR2005","no practice",
"ERI","IC.ISV.DURS         ","YR2006","no practice",
"ERI","IC.ISV.DURS         ","YR2007","no practice",
"ERI","IC.ISV.DURS         ","YR2008","no practice",
"ERI","IC.ISV.DURS         ","YR2009","no practice",
"GNB","IC.ISV.DURS         ","YR2005","no practice",
"GNB","IC.ISV.DURS         ","YR2006","no practice",
"GNB","IC.ISV.DURS         ","YR2007","no practice",
"GNB","IC.ISV.DURS         ","YR2008","no practice",
"GNB","IC.ISV.DURS         ","YR2009","no practice",
"GNQ","IC.ISV.DURS         ","YR2005","no practice",
"GNQ","IC.ISV.DURS         ","YR2006","no practice",
"GNQ","IC.ISV.DURS         ","YR2007","no practice",
"GNQ","IC.ISV.DURS         ","YR2008","no practice",
"GNQ","IC.ISV.DURS         ","YR2009","no practice",
"GRD","IC.ISV.DURS         ","YR2005","no practice",
"GRD","IC.ISV.DURS         ","YR2006","no practice",
"GRD","IC.ISV.DURS         ","YR2007","no practice",
"GRD","IC.ISV.DURS         ","YR2008","no practice",
"GRD","IC.ISV.DURS         ","YR2009","no practice",
"IRQ","IC.ISV.DURS         ","YR2005","no practice",
"IRQ","IC.ISV.DURS         ","YR2006","no practice",
"IRQ","IC.ISV.DURS         ","YR2007","no practice",
"IRQ","IC.ISV.DURS         ","YR2008","no practice",
"IRQ","IC.ISV.DURS         ","YR2009","no practice",
"KHM","IC.ISV.DURS         ","YR2005","no practice",
"KHM","IC.ISV.DURS         ","YR2006","no practice",
"KHM","IC.ISV.DURS         ","YR2007","no practice",
"KHM","IC.ISV.DURS         ","YR2008","no practice",
"KHM","IC.ISV.DURS         ","YR2009","no practice",
"KIR","IC.ISV.DURS         ","YR2005","no practice",
"KIR","IC.ISV.DURS         ","YR2006","no practice",
"KIR","IC.ISV.DURS         ","YR2007","no practice",
"KIR","IC.ISV.DURS         ","YR2008","no practice",
"KIR","IC.ISV.DURS         ","YR2009","no practice",
"KNA","IC.ISV.DURS         ","YR2005","no practice",
"KNA","IC.ISV.DURS         ","YR2006","no practice",
"KNA","IC.ISV.DURS         ","YR2007","no practice",
"KNA","IC.ISV.DURS         ","YR2008","no practice",
"KNA","IC.ISV.DURS         ","YR2009","no practice",
"LAO","IC.ISV.DURS         ","YR2005","no practice",
"LAO","IC.ISV.DURS         ","YR2006","no practice",
"LAO","IC.ISV.DURS         ","YR2007","no practice",
"LAO","IC.ISV.DURS         ","YR2008","no practice",
"LAO","IC.ISV.DURS         ","YR2009","no practice",
"MDG","IC.ISV.DURS         ","YR2005","no practice",
"MDG","IC.ISV.DURS         ","YR2006","no practice",
"MDG","IC.ISV.DURS         ","YR2007","no practice",
"MDG","IC.ISV.DURS         ","YR2008","no practice",
"MDG","IC.ISV.DURS         ","YR2009","no practice",
"PSE","IC.ISV.DURS         ","YR2005","no practice",
"PSE","IC.ISV.DURS         ","YR2006","no practice",
"PSE","IC.ISV.DURS         ","YR2007","no practice",
"PSE","IC.ISV.DURS         ","YR2008","no practice",
"PSE","IC.ISV.DURS         ","YR2009","no practice",
"RWA","IC.ISV.DURS         ","YR2005","no practice",
"RWA","IC.ISV.DURS         ","YR2006","no practice",
"RWA","IC.ISV.DURS         ","YR2007","no practice",
"RWA","IC.ISV.DURS         ","YR2008","no practice",
"RWA","IC.ISV.DURS         ","YR2009","no practice",
"SDN","IC.ISV.DURS         ","YR2005","no practice",
"SDN","IC.ISV.DURS         ","YR2006","no practice",
"SDN","IC.ISV.DURS         ","YR2007","no practice",
"SDN","IC.ISV.DURS         ","YR2008","no practice",
"SDN","IC.ISV.DURS         ","YR2009","no practice",
"STP","IC.ISV.DURS         ","YR2005","no practice",
"STP","IC.ISV.DURS         ","YR2006","no practice",
"STP","IC.ISV.DURS         ","YR2007","no practice",
"STP","IC.ISV.DURS         ","YR2008","no practice",
"STP","IC.ISV.DURS         ","YR2009","no practice",
"SYC","IC.ISV.DURS         ","YR2005","no practice",
"SYC","IC.ISV.DURS         ","YR2006","no practice",
"SYC","IC.ISV.DURS         ","YR2007","no practice",
"SYC","IC.ISV.DURS         ","YR2008","no practice",
"SYC","IC.ISV.DURS         ","YR2009","no practice",
"TCD","IC.ISV.DURS         ","YR2005","no practice",
"TCD","IC.ISV.DURS         ","YR2006","no practice",
"TCD","IC.ISV.DURS         ","YR2007","no practice",
"TCD","IC.ISV.DURS         ","YR2008","no practice",
"TCD","IC.ISV.DURS         ","YR2009","no practice",
"TLS","IC.ISV.DURS         ","YR2005","no practice",
"TLS","IC.ISV.DURS         ","YR2006","no practice",
"TLS","IC.ISV.DURS         ","YR2007","no practice",
"TLS","IC.ISV.DURS         ","YR2008","no practice",
"TLS","IC.ISV.DURS         ","YR2009","no practice",
"TTO","IC.ISV.DURS         ","YR2005","no practice",
"TTO","IC.ISV.DURS         ","YR2006","no practice",
"TTO","IC.ISV.DURS         ","YR2007","no practice",
"TTO","IC.ISV.DURS         ","YR2008","no practice",
"TTO","IC.ISV.DURS         ","YR2009","no practice",
"VCT","IC.ISV.DURS         ","YR2005","no practice",
"VCT","IC.ISV.DURS         ","YR2006","no practice",
"VCT","IC.ISV.DURS         ","YR2007","no practice",
"VCT","IC.ISV.DURS         ","YR2008","no practice",
"VCT","IC.ISV.DURS         ","YR2009","no practice",
